dataset,model,sensitive,compression,seed,group,n,selection_rate,mean_entropy,mean_variance,mutual_information,ece,selection_disparity,entropy_disparity,variance_disparity,mi_disparity,ece_disparity,spearman_entropy_ece,spearman_mi_ece,spearman_entropy_selection,config_hash,python,versions
adult,logreg,race,none,1,Asian-Pac-Islander,378,0.251323,0.313679,0.001454,0.003892,0.035242,0.153883,0.113068,0.000841,0.001825,0.047126,-0.6,-0.6,0.8,bfff18071fd3,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,none,1,Black,1211,0.09744,0.225197,0.000972,0.002917,0.015226,0.153883,0.113068,0.000841,0.001825,0.047126,-0.6,-0.6,0.8,bfff18071fd3,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,none,1,Other,91,0.098901,0.221203,0.000852,0.002831,0.051823,0.153883,0.113068,0.000841,0.001825,0.047126,-0.6,-0.6,0.8,bfff18071fd3,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,none,1,White,10408,0.217429,0.33427,0.001694,0.004656,0.004697,0.153883,0.113068,0.000841,0.001825,0.047126,-0.6,-0.6,0.8,bfff18071fd3,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,prune:0.5,1,Amer-Indian-Eskimo,123,0.113821,0.262208,0.001217,0.003522,0.039914,0.150075,0.108867,0.000819,0.001728,0.044778,-0.7,-0.4,0.8,c00b03b7dfbc,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,prune:0.5,1,Asian-Pac-Islander,378,0.243386,0.318552,0.001438,0.003823,0.033687,0.150075,0.108867,0.000819,0.001728,0.044778,-0.7,-0.4,0.8,c00b03b7dfbc,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,prune:0.5,1,Black,1211,0.093311,0.22575,0.000974,0.002912,0.014068,0.150075,0.108867,0.000819,0.001728,0.044778,-0.7,-0.4,0.8,c00b03b7dfbc,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,prune:0.5,1,Other,91,0.098901,0.225696,0.000867,0.002915,0.050132,0.150075,0.108867,0.000819,0.001728,0.044778,-0.7,-0.4,0.8,c00b03b7dfbc,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,prune:0.5,1,White,10408,0.212433,0.334563,0.001686,0.00464,0.005354,0.150075,0.108867,0.000819,0.001728,0.044778,-0.7,-0.4,0.8,c00b03b7dfbc,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,prune:0.9,1,Amer-Indian-Eskimo,123,0.073171,0.293186,0.001241,0.00352,0.046687,0.093203,0.105396,0.000795,0.00178,0.024209,0.1,0.2,0.8,f017fdbc0b00,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,prune:0.9,1,Asian-Pac-Islander,378,0.148148,0.341941,0.001702,0.004325,0.024969,0.093203,0.105396,0.000795,0.00178,0.024209,0.1,0.2,0.8,f017fdbc0b00,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,prune:0.9,1,Black,1211,0.056978,0.246026,0.001006,0.002969,0.024313,0.093203,0.105396,0.000795,0.00178,0.024209,0.1,0.2,0.8,f017fdbc0b00,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,prune:0.9,1,Other,91,0.054945,0.282162,0.001218,0.003547,0.048521,0.093203,0.105396,0.000795,0.00178,0.024209,0.1,0.2,0.8,f017fdbc0b00,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,prune:0.9,1,White,10408,0.141334,0.351421,0.0018,0.004749,0.027474,0.093203,0.105396,0.000795,0.00178,0.024209,0.1,0.2,0.8,f017fdbc0b00,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
