dataset,model,sensitive,compression,metric,n_pairs,mean_diff,std_diff,ci_lo,ci_hi,t_stat,p_value,cohens_dz,ci_excludes_zero
adult,mlp,sex,prune:0.3,demographic_parity_difference,10,0.006273,0.090884,-0.058742,0.071288,0.218273,0.832085,0.069024,False
adult,mlp,sex,prune:0.3,equalized_odds_difference,10,0.049269,0.064384,0.003211,0.095327,2.41987,0.038619,0.76523,True
adult,mlp,sex,prune:0.3,disparate_impact_ratio,10,0.23529,0.138118,0.136486,0.334093,5.387074,0.00044,1.703542,True
adult,mlp,sex,prune:0.3,accuracy,10,-0.177676,0.103493,-0.25171,-0.103641,-5.428966,0.000417,-1.71679,True
adult,mlp,sex,prune:0.3,balanced_accuracy,10,-0.075627,0.072597,-0.127559,-0.023694,-3.294269,0.009315,-1.041739,True
adult,mlp,sex,prune:0.3,positive_prediction_rate,10,0.235149,0.233331,0.068234,0.402063,3.186915,0.011061,1.007791,True
adult,mlp,sex,prune:0.3,mean_ece_per_group,10,0.166752,0.107897,0.089567,0.243937,4.887215,0.000863,1.545473,True
adult,mlp,sex,prune:0.3,ece_disparity,10,0.047599,0.039078,0.019644,0.075553,3.851827,0.003895,1.218055,True
adult,mlp,sex,prune:0.5,demographic_parity_difference,10,-0.038939,0.073727,-0.091681,0.013802,-1.670172,0.129224,-0.528155,False
adult,mlp,sex,prune:0.5,equalized_odds_difference,10,0.032533,0.063752,-0.013072,0.078138,1.613727,0.141044,0.510305,False
adult,mlp,sex,prune:0.5,disparate_impact_ratio,10,0.289534,0.259508,0.103893,0.475174,3.528159,0.006433,1.115702,True
adult,mlp,sex,prune:0.5,accuracy,10,-0.190246,0.096783,-0.259481,-0.121012,-6.216099,0.000156,-1.965703,True
adult,mlp,sex,prune:0.5,balanced_accuracy,10,-0.120483,0.058232,-0.16214,-0.078826,-6.542814,0.000106,-2.069019,True
adult,mlp,sex,prune:0.5,positive_prediction_rate,10,0.196618,0.224883,0.035746,0.357489,2.764816,0.021939,0.874312,True
adult,mlp,sex,prune:0.5,mean_ece_per_group,10,0.166442,0.100197,0.094766,0.238119,5.253014,0.000526,1.661149,True
adult,mlp,sex,prune:0.5,ece_disparity,10,0.047536,0.046948,0.013951,0.08112,3.201859,0.010799,1.012517,True
adult,mlp,sex,prune:0.7,demographic_parity_difference,10,-0.090616,0.074114,-0.143634,-0.037598,-3.866367,0.00381,-1.222653,True
adult,mlp,sex,prune:0.7,equalized_odds_difference,10,-0.003347,0.057389,-0.044401,0.037707,-0.184439,0.857758,-0.058325,False
adult,mlp,sex,prune:0.7,disparate_impact_ratio,10,0.438432,0.177295,0.311603,0.565262,7.819974,2.7e-05,2.472893,True
adult,mlp,sex,prune:0.7,accuracy,10,-0.294259,0.153289,-0.403916,-0.184603,-6.070423,0.000186,-1.919636,True
adult,mlp,sex,prune:0.7,balanced_accuracy,10,-0.179219,0.071874,-0.230635,-0.127804,-7.885263,2.5e-05,-2.493539,True
adult,mlp,sex,prune:0.7,positive_prediction_rate,10,0.314078,0.277805,0.115348,0.512807,3.575166,0.005976,1.130567,True
adult,mlp,sex,prune:0.7,mean_ece_per_group,10,0.223421,0.131136,0.129612,0.31723,5.387703,0.00044,1.703741,True
adult,mlp,sex,prune:0.7,ece_disparity,10,0.031345,0.044975,-0.000828,0.063519,2.20391,0.054989,0.696938,False
adult,mlp,sex,prune:0.9,demographic_parity_difference,10,-0.160222,0.033304,-0.184046,-0.136398,-15.213425,0.0,-4.810907,True
