dataset,model,sensitive,sparsity,seed,binning,n_bins,mean_ece_per_group,ece_disparity,min_group_ece,max_group_ece,n_groups_scored,mean_confidence,std_confidence,n_distinct_confidence,python,versions
adult,mlp,sex,0.5,2,equal_mass,10,0.423215,0.104136,0.371147,0.475283,2,0.854344,0.147753,11174,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.5,2,equal_mass,15,0.423215,0.104136,0.371147,0.475283,2,0.854344,0.147753,11174,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.5,3,equal_width,10,0.189238,0.08251,0.147983,0.230493,2,0.847914,0.153066,11039,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.5,3,equal_width,15,0.190483,0.080019,0.150474,0.230493,2,0.847914,0.153066,11039,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.5,3,equal_mass,10,0.187873,0.085239,0.145254,0.230493,2,0.847914,0.153066,11039,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.5,3,equal_mass,15,0.191639,0.077706,0.152786,0.230493,2,0.847914,0.153066,11039,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.5,4,equal_width,10,0.123657,0.065111,0.091102,0.156212,2,0.918933,0.132458,7679,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.5,4,equal_width,15,0.123752,0.064921,0.091291,0.156212,2,0.918933,0.132458,7679,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.5,4,equal_mass,10,0.123657,0.065111,0.091102,0.156212,2,0.918933,0.132458,7679,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.5,4,equal_mass,15,0.123657,0.065111,0.091102,0.156212,2,0.918933,0.132458,7679,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
