dataset,model,sensitive,compression,demographic_parity_difference_mean,demographic_parity_difference_std,equalized_odds_difference_mean,equalized_odds_difference_std,disparate_impact_ratio_mean,disparate_impact_ratio_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,positive_prediction_rate_mean,positive_prediction_rate_std,mean_predicted_prob_mean,mean_predicted_prob_std,std_predicted_prob_mean,std_predicted_prob_std,mean_group_predictive_entropy_mean,mean_group_predictive_entropy_std,mean_group_predictive_variance_mean,mean_group_predictive_variance_std,mean_group_mutual_information_mean,mean_group_mutual_information_std,mean_ece_per_group_mean,mean_ece_per_group_std,entropy_disparity_mean,entropy_disparity_std,variance_disparity_mean,variance_disparity_std,mi_disparity_mean,mi_disparity_std,ece_disparity_mean,ece_disparity_std,selective_fairness_auc_mean,selective_fairness_auc_std,n_params_mean,n_params_std,flops_mean,flops_std,peak_ram_bytes_mean,peak_ram_bytes_std,n_seeds,skip_reason
adult,tree,race,prune:0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"RuntimeError: magnitude_prune supports the sklearn weight-array families LogisticRegression (coef_) and MLPClassifier (coefs_); got 'DecisionTreeClassifier', which has no prunable dense weight matrix."
adult,tree,race,prune:0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"RuntimeError: magnitude_prune supports the sklearn weight-array families LogisticRegression (coef_) and MLPClassifier (coefs_); got 'DecisionTreeClassifier', which has no prunable dense weight matrix."
adult,tree,race,prune:0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"RuntimeError: magnitude_prune supports the sklearn weight-array families LogisticRegression (coef_) and MLPClassifier (coefs_); got 'DecisionTreeClassifier', which has no prunable dense weight matrix."
adult,tree,race,prune:0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"RuntimeError: magnitude_prune supports the sklearn weight-array families LogisticRegression (coef_) and MLPClassifier (coefs_); got 'DecisionTreeClassifier', which has no prunable dense weight matrix."
adult,tree,sex,int8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"NotImplementedError: quantize_int8 supports sklearn LogisticRegression and MLPClassifier; got 'DecisionTreeClassifier'. For other sklearn families, wrap the model in ONNX manually."
adult,tree,sex,none,0.18556330000000001,0.010278412264439376,0.0983576,0.008868796150298843,0.3900222,0.024796675820225038,0.8159117,0.003581459387518498,0.7495507,0.005705197748057851,0.2426091,0.0027229025546688652,0.2426583,0.0027023967160857637,0.42865089999999995,0.001633055176995284,,,,,,,,,,,,,,,,,,,10723.2,136.9296656438385,130940995.2,1672048.14717691,5326173.0,45.89117562234267,10,
adult,tree,sex,prune:0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"RuntimeError: magnitude_prune supports the sklearn weight-array families LogisticRegression (coef_) and MLPClassifier (coefs_); got 'DecisionTreeClassifier', which has no prunable dense weight matrix."
adult,tree,sex,prune:0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"RuntimeError: magnitude_prune supports the sklearn weight-array families LogisticRegression (coef_) and MLPClassifier (coefs_); got 'DecisionTreeClassifier', which has no prunable dense weight matrix."
adult,tree,sex,prune:0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"RuntimeError: magnitude_prune supports the sklearn weight-array families LogisticRegression (coef_) and MLPClassifier (coefs_); got 'DecisionTreeClassifier', which has no prunable dense weight matrix."
adult,tree,sex,prune:0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"RuntimeError: magnitude_prune supports the sklearn weight-array families LogisticRegression (coef_) and MLPClassifier (coefs_); got 'DecisionTreeClassifier', which has no prunable dense weight matrix."
compas,logreg,race,int8,0.6251032999999999,0.26423971242375527,0.8467798999999999,0.20385335531888277,0.111591,0.1285898195555672,0.6802333,0.0064024425729560285,0.666775,0.006321906621687287,0.3355801,0.008270366664584266,0.45643010000000006,0.005532065004237662,0.1887691,0.005214221715654207,,,,,,,,,,,,,,,,,,,6.0,0.0,9258.0,0.0,674812.0,0.0,10,
compas,logreg,race,none,0.6251032999999999,0.26423971242375527,0.8467798999999999,0.20385335531888277,0.111591,0.1285898195555672,0.6802333,0.0064024425729560285,0.666775,0.006321906621687287,0.3355801,0.008270366664584266,0.45643010000000006,0.005532065004237662,0.1887691,0.005214221715654207,0.6060401,0.01904701153841317,0.0006411,0.00012948225961712111,0.0018382,0.0003805667703132615,0.1308746,0.03529485617606181,0.0865646,0.05800721064220282,0.0003826,0.00024292120350251668,0.0019130000000000002,0.0012630998904810866,0.290294,0.11539923271456841,0.6126779,0.14537792901067664,6.0,0.0,9258.0,0.0,63938.8,26.084478143140704,10,
compas,logreg,race,prune:0.3,0.6432756000000001,0.2515472532367096,0.8722641,0.16811929608098727,0.1061032,0.12458086769448636,0.6811406,0.006858459337846113,0.6678429,0.007115723301253338,0.33726500000000004,0.01085825232510075,0.4565786,0.005442269465336427,0.1881648,0.0055722438289156915,0.6074288,0.01831510818847531,0.0006508,0.0001325299127660536,0.0018671,0.00039905428480624313,0.1322413,0.035133727720904694,0.0817867,0.053693526524878,0.0004391,0.0002901606643070544,0.0020955,0.0014204791249590558,0.2911776,0.11695887700213267,0.6126513,0.14475677139721113,6.0,0.0,9258.0,0.0,63949.6,17.07629936490933,10,
compas,logreg,race,prune:0.5,0.5213409999999999,0.18279900178733044,0.8428938,0.1784002985484547,0.13158419999999998,0.12691427897495747,0.6802981,0.007307141901363803,0.6667167,0.007384359793960948,0.3342189,0.007955378340748123,0.4569567,0.005513605314734343,0.18182510000000002,0.005472232338512929,0.61119,0.018176765541634627,0.0006527,0.0001249844879263912,0.0018654000000000001,0.0003733441069874041,0.1289323,0.02921611192875146,0.08308420000000001,0.05610146220475106,0.0003927,0.00027418082030335785,0.0020263,0.001354993485019188,0.28918900000000003,0.12318005048798375,0.5932213,0.13909379248074935,6.0,0.0,9258.0,0.0,63944.2,22.768399153212336,10,
compas,logreg,race,prune:0.7,0.4718864,0.2169309661401269,0.7352619,0.2510365703852063,0.1044789,0.1173243384605731,0.6329876999999999,0.005085178988437291,0.6107671,0.005098567564631388,0.2433572,0.00793304388547603,0.4486314,0.005069164432571194,0.1606523,0.007914669194322363,0.6263433,0.02063843890548787,0.0004963000000000001,0.00013186023745702198,0.0014098,0.0003728219116116672,0.1332971,0.03798817596290836,0.0950039,0.07598454937310171,0.0002841,0.00014810240451195323,0.0017055999999999998,0.001002442372962711,0.3371623,0.14226438049244794,0.49062789999999995,0.1703972778984779,6.0,0.0,9258.0,0.0,63949.6,17.07629936490928,10,
compas,logreg,race,prune:0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.545042,0.0,0.5,0.0,0.0,0.0,0.4572,0.0007785276702425726,0.0,0.0,0.6894682000000001,0.00043794413646792724,1.57e-05,7.587270040447135e-06,3.15e-05,1.5565274741480723e-05,0.1377487,0.04230138324255287,0.0,0.0,0.0,0.0,0.0,0.0,0.2925559,0.15007934854858168,0.0,0.0,6.0,0.0,9258.0,0.0,63949.6,17.076299364908994,10,
compas,logreg,sex,int8,0.1389727,0.01808342315215789,0.1282435,0.026736245719372546,0.6164502000000001,0.04831021911401815,0.6802333,0.0064024425729560285,0.666775,0.006321906621687287,0.3355801,0.008270366664584266,0.45643010000000006,0.005532065004237662,0.1887691,0.005214221715654207,,,,,,,,,,,,,,,,,,,6.0,0.0,9258.0,0.0,674980.0,0.0,10,
compas,logreg,sex,none,0.1389727,0.01808342315215789,0.1282435,0.026736245719372546,0.6164502000000001,0.04831021911401815,0.6802333,0.0064024425729560285,0.666775,0.006321906621687287,0.3355801,0.008270366664584266,0.45643010000000006,0.005532065004237662,0.1887691,0.005214221715654207,0.6164750999999999,0.007836265968062998,0.0006309999999999999,0.0001272250848780311,0.0017203,0.0003301124555864764,0.0590291,0.008400612457169747,0.0115666,0.005167185763170424,0.0001142,4.012425146411526e-05,0.00042940000000000003,0.00018059358915654906,0.05186809999999999,0.017108059864351134,0.1729933,0.023526709936911184,6.0,0.0,9258.0,0.0,63955.0,0.0,10,
