dataset,model,sensitive,compression,group,top_k,top_features,top_importances,seed,config_hash,python,versions
compas,logreg,race,prune:0.9,Caucasian,3,age|juv_fel_count|juv_misd_count,0.000000|0.000000|0.000000,0,29ed83a89876,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.9,African-American,3,age|juv_fel_count|juv_misd_count,0.000000|0.000000|0.000000,0,29ed83a89876,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.9,Other,3,age|juv_fel_count|juv_misd_count,0.000000|0.000000|0.000000,0,29ed83a89876,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.9,Hispanic,3,age|juv_fel_count|juv_misd_count,0.000000|0.000000|0.000000,0,29ed83a89876,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.9,Native American,3,age|juv_fel_count|juv_misd_count,0.000000|0.000000|0.000000,0,29ed83a89876,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.9,Asian,3,age|juv_fel_count|juv_misd_count,0.000000|0.000000|0.000000,0,29ed83a89876,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,none,Male,3,priors_count|age|juv_other_count,0.114927|0.095817|0.011742,1,4489ae7b79c2,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,none,Female,3,priors_count|age|juv_other_count,0.100697|0.085018|0.009503,1,4489ae7b79c2,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.3,Male,3,priors_count|age|juv_other_count,0.115586|0.096051|0.011804,1,df1e1d61c15e,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.3,Female,3,priors_count|age|juv_other_count,0.100775|0.085168|0.009515,1,df1e1d61c15e,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.5,Male,3,priors_count|age|juv_fel_count,0.117016|0.096778|0.000000,1,61e7faff99a3,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.5,Female,3,priors_count|age|juv_fel_count,0.101145|0.085750|0.000000,1,61e7faff99a3,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.7,Male,3,priors_count|age|juv_fel_count,0.121108|0.000000|0.000000,1,e72826b23c22,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.7,Female,3,priors_count|age|juv_fel_count,0.102981|0.000000|0.000000,1,e72826b23c22,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.9,Male,3,age|juv_fel_count|juv_misd_count,0.000000|0.000000|0.000000,1,72b24cb72a66,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.9,Female,3,age|juv_fel_count|juv_misd_count,0.000000|0.000000|0.000000,1,72b24cb72a66,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,none,Caucasian,3,age|priors_count|juv_other_count,0.098387|0.095666|0.011434,1,bbefd9914735,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,none,African-American,3,priors_count|age|juv_other_count,0.125446|0.088336|0.011858,1,bbefd9914735,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,none,Hispanic,3,priors_count|age|juv_other_count,0.105994|0.099427|0.009824,1,bbefd9914735,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,none,Asian,3,age|priors_count|juv_other_count,0.118661|0.081031|0.005503,1,bbefd9914735,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,none,Other,3,priors_count|age|juv_other_count,0.108204|0.099822|0.007473,1,bbefd9914735,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,none,Native American,3,age|priors_count|juv_other_count,0.115408|0.062166|0.033749,1,bbefd9914735,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.3,Caucasian,3,age|priors_count|juv_other_count,0.098618|0.095915|0.011459,1,e9776416040e,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.3,African-American,3,priors_count|age|juv_other_count,0.126237|0.088524|0.011938,1,e9776416040e,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.3,Hispanic,3,priors_count|age|juv_other_count,0.106473|0.099723|0.009844,1,e9776416040e,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.3,Asian,3,age|priors_count|juv_other_count,0.119053|0.081204|0.005518,1,e9776416040e,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.3,Other,3,priors_count|age|juv_other_count,0.108485|0.100079|0.007492,1,e9776416040e,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.3,Native American,3,age|priors_count|juv_other_count,0.115467|0.062073|0.033745,1,e9776416040e,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.5,Caucasian,3,age|priors_count|juv_fel_count,0.099510|0.096795|0.000000,1,bb35544edc8c,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.5,African-American,3,priors_count|age|juv_fel_count,0.127906|0.089101|0.000000,1,bb35544edc8c,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.5,Hispanic,3,priors_count|age|juv_fel_count,0.106843|0.100373|0.000000,1,bb35544edc8c,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.5,Asian,3,age|priors_count|juv_fel_count,0.120525|0.081849|0.000000,1,bb35544edc8c,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
