dataset,model,sensitive,mechanism,level,seed,demographic_parity_difference,equalized_odds_difference,disparate_impact_ratio,accuracy,balanced_accuracy,positive_prediction_rate,mean_predicted_prob,std_predicted_prob,mean_group_predictive_entropy,mean_ece_per_group,ece_disparity,selective_fairness_auc,n_params,n_train_effective,label_flip_fraction,skip_reason,python,versions
adult,logreg,sex,label_noise,0.3,0,0.164361,0.186197,0.233955,0.836541,0.718622,0.159856,0.39209,0.107897,0.63838,0.211792,0.066222,0.070676,102,36631,0.3,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.3,1,0.17131,0.167856,0.253592,0.844648,0.738729,0.172386,0.396933,0.104823,0.64587,0.229192,0.070685,0.074736,102,36631,0.3,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.3,2,0.149964,0.110516,0.294115,0.834657,0.718792,0.163705,0.394222,0.10703,0.643782,0.220106,0.079266,0.071663,102,36631,0.3,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.3,3,0.14665,0.101735,0.318703,0.83736,0.724438,0.166407,0.395044,0.104491,0.646673,0.224368,0.070549,0.067334,102,36631,0.3,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.3,4,0.177352,0.191616,0.242536,0.841373,0.736694,0.175825,0.396615,0.107763,0.648547,0.233348,0.067729,0.09636,102,36631,0.3,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.4,0,0.111528,0.042609,0.395062,0.820817,0.687996,0.147244,0.446956,0.055929,0.679732,0.26922,0.109654,0.074911,102,36631,0.4,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.4,1,0.173548,0.096884,0.367724,0.834493,0.756451,0.216608,0.45075,0.063234,0.679185,0.282285,0.08428,0.106637,102,36631,0.4,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.4,2,0.128456,0.050767,0.411161,0.82524,0.714947,0.176398,0.449299,0.059367,0.680443,0.277311,0.103335,0.069862,102,36631,0.4,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.4,3,0.112379,0.049084,0.410298,0.824093,0.696718,0.153141,0.446969,0.053102,0.681709,0.27931,0.103986,0.058952,102,36631,0.4,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.4,4,0.157546,0.069845,0.375907,0.828679,0.73703,0.200639,0.446804,0.059144,0.680545,0.278183,0.08943,0.069674,102,36631,0.4,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,subsample,1.0,0,0.177187,0.093685,0.301623,0.853902,0.767449,0.194742,0.238785,0.28496,0.288715,0.008712,0.003306,0.095508,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,subsample,1.0,1,0.190734,0.124504,0.2892,0.856523,0.778202,0.204733,0.242087,0.288425,0.295485,0.00928,0.007379,0.106242,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,subsample,1.0,2,0.165255,0.072526,0.332011,0.848252,0.758926,0.193678,0.238568,0.284144,0.296264,0.013711,0.000267,0.099078,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,subsample,1.0,3,0.164557,0.068316,0.340152,0.849644,0.761483,0.194579,0.238038,0.283732,0.299351,0.01055,0.002651,0.100083,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,subsample,1.0,4,0.17375,0.115883,0.309714,0.853575,0.766881,0.194579,0.237738,0.284909,0.306853,0.00964,0.011176,0.119059,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,subsample,0.5,0,0.175228,0.098185,0.298485,0.852592,0.763303,0.191467,0.237048,0.283516,0.288515,0.010675,0.005976,0.094211,102,18316,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,subsample,0.5,1,0.1997,0.158444,0.26554,0.854312,0.775576,0.205307,0.242712,0.288024,0.297654,0.009402,0.006352,0.106438,102,18316,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,subsample,0.5,2,0.164975,0.071895,0.335098,0.849234,0.760862,0.194497,0.238902,0.284237,0.297467,0.013604,0.00293,0.098855,102,18316,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,subsample,0.5,3,0.168365,0.081941,0.332443,0.849071,0.76181,0.196135,0.239163,0.284527,0.299069,0.010344,0.002647,0.101865,102,18316,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,subsample,0.5,4,0.163573,0.096192,0.329677,0.853165,0.763211,0.190238,0.235749,0.285852,0.303782,0.009783,0.011297,0.113898,102,18316,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,subsample,0.2,0,0.164163,0.068335,0.334279,0.850463,0.760731,0.191958,0.236685,0.28702,0.282968,0.014468,0.008569,0.09182,102,7326,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,subsample,0.2,1,0.194908,0.149203,0.269632,0.853984,0.772663,0.201867,0.236593,0.289081,0.28536,0.00962,0.006254,0.099636,102,7326,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,subsample,0.2,2,0.17526,0.079613,0.323739,0.845795,0.761651,0.202195,0.239155,0.292888,0.281581,0.01589,0.013618,0.10344,102,7326,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
