dataset,model,sensitive,mechanism,level,seed,demographic_parity_difference,equalized_odds_difference,disparate_impact_ratio,accuracy,balanced_accuracy,positive_prediction_rate,mean_predicted_prob,std_predicted_prob,mean_group_predictive_entropy,mean_ece_per_group,ece_disparity,selective_fairness_auc,n_params,n_train_effective,label_flip_fraction,skip_reason,python,versions
adult,mlp,race,prune,0.5,2,0.124532,0.157895,0.831461,0.465154,0.613503,0.72533,0.679687,0.352605,0.303116,0.443675,0.159427,0.161454,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.5,3,0.194674,0.178612,0.647606,0.620997,0.657292,0.487593,0.474347,0.396182,0.319533,0.189238,0.08251,0.207701,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.5,3,0.166822,0.462121,0.683038,0.620997,0.657292,0.487593,0.474347,0.396182,0.289292,0.205855,0.074624,0.175897,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.5,4,0.079283,0.185194,0.083496,0.787405,0.579945,0.060437,0.098481,0.200486,0.150174,0.123657,0.065111,0.009313,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.5,4,0.054955,0.102005,0.153953,0.787405,0.579945,0.060437,0.098481,0.200486,0.14126,0.115192,0.133089,0.008813,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.7,0,0.084783,0.106176,0.874959,0.504299,0.613194,0.649824,0.591546,0.312902,0.465993,0.262582,0.040322,0.086452,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.7,0,0.24073,0.275401,0.649762,0.504299,0.613194,0.649824,0.591546,0.312902,0.436414,0.270107,0.13389,0.304195,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.7,1,0.082219,0.058219,0.885454,0.455245,0.574853,0.690361,0.556511,0.288864,0.486474,0.284109,0.07202,0.089827,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.7,1,0.305647,0.331561,0.570865,0.455245,0.574853,0.690361,0.556511,0.288864,0.455342,0.254417,0.198245,0.276555,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.7,2,0.235017,0.196727,0.696536,0.522889,0.673267,0.698059,0.540444,0.291047,0.502406,0.237027,0.004842,0.206465,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.7,2,0.189161,0.180615,0.736988,0.522889,0.673267,0.698059,0.540444,0.291047,0.457047,0.276029,0.156268,0.229575,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.7,3,0.081438,0.037689,0.485068,0.794775,0.640619,0.131029,0.219424,0.261172,0.296076,0.040762,0.025502,0.03528,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.7,3,0.042916,0.300068,0.686104,0.794775,0.640619,0.131029,0.219424,0.261172,0.249434,0.080828,0.080856,0.045725,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.7,4,0.14682,0.113012,0.641757,0.681353,0.64993,0.361559,0.397693,0.352896,0.370927,0.122445,0.048228,0.163795,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.7,4,0.152671,0.119484,0.646949,0.681353,0.64993,0.361559,0.397693,0.352896,0.34957,0.164355,0.103861,0.207117,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.9,0,0.0,0.0,1.0,0.239292,0.5,1.0,0.529304,0.080044,0.678759,0.320297,0.184827,0.0,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.9,0,0.0,0.0,1.0,0.239292,0.5,1.0,0.529304,0.080044,0.665121,0.36176,0.159466,0.0,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.9,1,0.054925,0.063224,0.93631,0.33478,0.519483,0.844075,0.579936,0.177613,0.609192,0.341726,0.098064,0.108389,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.9,1,0.117013,0.230769,0.867968,0.33478,0.519483,0.844075,0.579936,0.177613,0.61294,0.382356,0.142055,0.15632,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.9,2,0.0,0.0,1.0,0.239292,0.5,1.0,0.61706,0.016338,0.667386,0.406651,0.19408,0.0,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.9,2,0.0,0.0,1.0,0.239292,0.5,1.0,0.61706,0.016338,0.665512,0.442025,0.182732,0.0,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.9,3,0.0,0.0,1.0,0.760708,0.5,0.0,0.393444,0.076215,0.651445,0.184937,0.168756,0.0,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.9,3,0.0,0.0,1.0,0.760708,0.5,0.0,0.393444,0.076215,0.650721,0.216736,0.130878,0.0,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.9,4,0.07688,0.199491,0.732212,0.645975,0.529913,0.261813,0.470216,0.201848,0.620067,0.215081,0.094869,0.043795,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.9,4,0.052969,0.311404,0.816837,0.645975,0.529913,0.261813,0.470216,0.201848,0.622067,0.235559,0.106479,0.084906,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.95,0,0.0,0.0,1.0,0.239292,0.5,1.0,0.507041,0.012797,0.692638,0.300335,0.192924,0.0,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.95,0,0.0,0.0,1.0,0.239292,0.5,1.0,0.507041,0.012797,0.692747,0.328917,0.156657,0.0,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.95,1,0.0,0.0,1.0,0.239292,0.5,1.0,0.657737,0.0,0.645162,0.44757,0.199476,0.0,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.95,1,0.0,0.0,1.0,0.239292,0.5,1.0,0.657737,0.0,0.645162,0.480217,0.157435,0.0,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.95,2,0.0,0.0,1.0,0.239292,0.5,1.0,0.61636,0.004715,0.668048,0.406128,0.193803,0.0,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.95,2,0.0,0.0,1.0,0.239292,0.5,1.0,0.61636,0.004715,0.667997,0.440163,0.182773,0.0,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.95,3,0.0,0.0,1.0,0.760708,0.5,0.0,0.42376,0.0,0.682531,0.219872,0.191046,0.0,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.95,3,0.0,0.0,1.0,0.760708,0.5,0.0,0.42376,0.0,0.682531,0.250232,0.146302,0.0,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
